Id,SalePrice
1461,3.8924818019748665e+297
1462,inf
1463,inf
1464,inf
1465,2.1790394012854093e+247
1466,inf
1467,4.063324374260442e+289
1468,1.7902255904297007e+285
1469,inf
1470,4.393574062357775e+268
1471,1.4633867739018855e+280
1472,8.968855268123654e+176
1473,8.312282437093307e+187
1474,1.7572432034647823e+228
1475,5.57237990791459e+176
1476,inf
1477,inf
1478,inf
1479,inf
1480,inf
1481,inf
1482,7.0786393788399905e+273
1483,inf
1484,6.337497841356497e+214
1485,inf
1486,1.3420059685703425e+304
1487,inf
1488,inf
1489,1.639914373925883e+287
1490,inf
1491,inf
1492,1.7621536830923117e+271
1493,inf
1494,inf
1495,inf
1496,7.31342509065067e+284
1497,3.742453759054068e+245
1498,2.3144259330137228e+212
1499,1.3956183523863203e+207
1500,4.209949748729912e+210
1501,1.0543877119515744e+237
1502,5.157023627004601e+193
1503,inf
1504,inf
1505,inf
1506,inf
1507,inf
1508,inf
1509,inf
1510,1.3135045534477032e+307
1511,inf
1512,inf
1513,inf
1514,inf
1515,inf
1516,inf
1517,inf
1518,inf
1519,inf
1520,2.9973758431381517e+285
1521,inf
1522,inf
1523,5.3477406612823256e+278
1524,3.376061788130533e+294
1525,4.844446303700576e+296
1526,inf
1527,9.308008824075494e+245
1528,1.8374811771747362e+276
1529,1.9137794654191963e+281
1530,inf
1531,3.8495069170467545e+269
1532,2.4867510527441006e+220
1533,1.3287632440872033e+277
1534,2.5842851329631324e+253
1535,inf
1536,4.114407813445809e+276
1537,6.45247401917027e+259
1538,1.24144154315044e+301
1539,inf
1540,inf
1541,inf
1542,5.387410537463251e+285
1543,inf
1544,1.7164703842880095e+206
1545,1.797231769261327e+240
1546,1.471654329053518e+241
1547,2.9644217497390807e+270
1548,8.464948087338692e+259
1549,3.991238291772218e+235
1550,1.851069188741047e+277
1551,1.3774071515729732e+257
1552,inf
1553,inf
1554,3.6703532741188494e+212
1555,inf
1556,1.1080913863587064e+290
1557,inf
1558,3.718946365860739e+224
1559,6.002405865981176e+289
1560,8.979726741205004e+286
1561,inf
1562,1.2063412108826115e+253
1563,1.2585197817840278e+257
1564,7.589593527251949e+305
1565,inf
1566,inf
1567,4.2325319512018236e+246
1568,inf
1569,inf
1570,3.49509263686783e+295
1571,7.392365494444497e+294
1572,2.0481709070856914e+305
1573,inf
1574,inf
1575,inf
1576,inf
1577,3.2076663261680487e+267
1578,inf
1579,2.4207078912128943e+302
1580,inf
1581,inf
1582,2.087029115743567e+249
1583,inf
1584,inf
1585,6.209075672247575e+216
1586,5.305776692254266e+219
1587,8.705229444321561e+250
1588,inf
1589,1.2625424883836209e+300
1590,7.944150308625957e+251
1591,5.223359869537953e+234
